sample	condition
GSM4731674	tumor
GSM4731675	tumor
GSM4731676	tumor
GSM4731677	tumor
GSM4731678	tumor
GSM4731679	tumor
GSM4731680	tumor
GSM4731681	tumor
GSM4731682	tumor
GSM4731683	tumor
GSM4731684	tumor
GSM4731685	tumor
GSM4731686	tumor
GSM4731687	tumor
GSM4731688	tumor
GSM4731689	tumor
GSM4731690	tumor
GSM4731691	tumor
GSM4731692	tumor
GSM4731693	tumor
GSM4731694	tumor
GSM4731696	tumor
GSM4731697	tumor
GSM4731698	tumor
GSM4731699	tumor
GSM4731700	tumor
GSM4731701	tumor
GSM4731702	tumor
GSM4731703	tumor
GSM4731704	tumor
GSM4731705	tumor
GSM4731706	tumor
GSM4731707	tumor
GSM4731708	tumor
GSM4731709	tumor
GSM4731710	tumor
GSM4731711	tumor
GSM4731712	tumor
GSM4731713	tumor
GSM4731714	tumor
GSM4731715	tumor
GSM4731716	tumor
GSM4731717	tumor
GSM4731718	tumor
GSM4731719	tumor
GSM4731720	tumor
GSM4731721	tumor
GSM4731746	normal
GSM4731747	normal
GSM4731748	normal
GSM4731749	normal
GSM4731750	normal
GSM4731751	normal
GSM4731752	normal
GSM4731753	normal
GSM4731754	normal
GSM4731755	normal
GSM4731756	normal
GSM4731757	normal
GSM4731758	normal
GSM4731759	normal
GSM4731760	normal
GSM4731761	normal
GSM4731762	normal
GSM4731763	normal
GSM4731764	normal
GSM4731765	normal
GSM4731766	normal
GSM4731767	normal
GSM4731768	normal
GSM4731769	normal
GSM4731770	normal
GSM4731771	normal
GSM4731772	normal
GSM4731773	normal
GSM4731774	normal
GSM4731775	normal
GSM4731776	normal
GSM4731777	normal
GSM4731778	normal
GSM4731779	normal
GSM4731780	normal
GSM4731781	normal
GSM4731782	normal
GSM4731783	normal
GSM4731784	normal
GSM4731785	normal
GSM4731786	normal
GSM4731787	normal
GSM4731788	normal
GSM4731789	normal
GSM4731790	normal
GSM4731791	normal
GSM4731792	normal
GSM4731793	normal
